TAKEN,RANK,PLAYER Team (Bye),POS
,1,Christian McCaffrey SF (9),RB
,2,Tyreek Hill MIA (6),WR
,3,CeeDee Lamb DAL (7),WR
,4,Justin Jefferson MIN (6),WR
,5,Bijan Robinson ATL (12),RB
,6,Breece Hall NYJ (12),RB
,7,Ja'Marr Chase CIN (12),WR
,8,Amon-Ra St. Brown DET (5),WR
,9,A.J. Brown PHI (5),WR
,10,Saquon Barkley PHI (5),RB
,11,Jonathan Taylor IND (14),RB
,12,Jahmyr Gibbs DET (5),RB
,13,Garrett Wilson NYJ (12),WR
,14,Puka Nacua LAR (6),WR
,15,Travis Etienne Jr. JAC (12),RB
,16,Marvin Harrison Jr. ARI (11),WR
,17,Kyren Williams LAR (6),RB
,18,Davante Adams LV (10),WR
,19,Derrick Henry BAL (14),RB
,20,De'Von Achane MIA (6),RB
,21,Drake London ATL (12),WR
,22,Josh Allen BUF (12),QB
,23,Josh Jacobs GB (10),RB
,24,Isiah Pacheco KC (6),RB
,25,Deebo Samuel Sr. SF (9),WR
,26,Chris Olave NO (12),WR
,27,Travis Kelce KC (6),TE
,28,Nico Collins HOU (14),WR
,29,Sam LaPorta DET (5),TE
,30,Jalen Hurts PHI (5),QB
,31,Rachaad White TB (11),RB
,32,Patrick Mahomes II KC (6),QB
,33,James Cook BUF (12),RB
,34,Michael Pittman Jr. IND (14),WR
,35,Brandon Aiyuk SF (9),WR
,36,Mike Evans TB (11),WR
,37,Cooper Kupp LAR (6),WR
,38,Stefon Diggs HOU (14),WR
,39,Jaylen Waddle MIA (6),WR
,40,DJ Moore CHI (7),WR
,41,Lamar Jackson BAL (14),QB
,42,DK Metcalf SEA (10),WR
,43,Kenneth Walker III SEA (10),RB
,44,Joe Mixon HOU (14),RB
,45,Alvin Kamara NO (12),RB
,46,Malik Nabers NYG (11),WR
,47,DeVonta Smith PHI (5),WR
,48,Trey McBride ARI (11),TE
,49,C.J. Stroud HOU (14),QB
,50,Mark Andrews BAL (14),TE
,51,Dalton Kincaid BUF (12),TE
,52,Anthony Richardson IND (14),QB
,53,Amari Cooper CLE (10),WR
,54,Aaron Jones MIN (6),RB
,55,George Pickens PIT (9),WR
,56,Zay Flowers BAL (14),WR
,57,D'Andre Swift CHI (7),RB
,58,James Conner ARI (11),RB
,59,Rhamondre Stevenson NE (14),RB
,60,Tee Higgins CIN (12),WR
,61,Joe Burrow CIN (12),QB
,62,George Kittle SF (9),TE
,63,David Montgomery DET (5),RB
,64,Kyle Pitts ATL (12),TE
,65,Najee Harris PIT (9),RB
,66,Terry McLaurin WAS (14),WR
,67,Zamir White LV (10),RB
,68,Tank Dell HOU (14),WR
,69,Christian Kirk JAC (12),WR
,70,Keenan Allen CHI (7),WR
,71,Kyler Murray ARI (11),QB
,72,Jordan Love GB (10),QB
,73,Evan Engram JAC (12),TE
,74,Chris Godwin TB (11),WR
,75,Dak Prescott DAL (7),QB
,76,Rashee Rice KC (6),WR
,77,Raheem Mostert MIA (6),RB
,78,Calvin Ridley TEN (5),WR
,79,Tony Pollard TEN (5),RB
,80,Jayden Reed GB (10),WR
,81,Javonte Williams DEN (14),RB
,82,Xavier Worthy KC (6),WR
,83,Zack Moss CIN (12),RB
,84,Devin Singletary NYG (11),RB
,85,Jake Ferguson DAL (7),TE
,86,Jaylen Warren PIT (9),RB
,87,Nick Chubb CLE (10),RB
,88,Jonathon Brooks CAR (11),RB
,89,Diontae Johnson CAR (11),WR
,90,David Njoku CLE (10),TE
,91,Austin Ekeler WAS (14),RB
,92,Brock Bowers LV (10),TE
,93,Brian Robinson Jr. WAS (14),RB
,94,Rome Odunze CHI (7),WR
,95,Ladd McConkey LAC (5),WR
,96,Jordan Addison MIN (6),WR
,97,Brock Purdy SF (9),QB
,98,DeAndre Hopkins TEN (5),WR
,99,Christian Watson GB (10),WR
,100,Caleb Williams CHI (7),QB
